"TLA NAME","CRASH ROAD","CRASH DIST","CRASH DIRN","INTSN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT","VEHICLES","CAUSES","OBJECTS STRUCK","ROAD CURVE","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","ROAD MARK","SPD LIM","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT","PERS AGE1","PERS AGE2","EASTING","NORTHING"
"Ashburton District","ACTON ROAD","700","E"," ","MICHAEL ST","201400074","05/04/2014","Sat","2255","PO","CS1E","103A 330A 724B 728B ","","R","W","DN","F "," "," ","C","100","1","0","0","18","","1522685","5154185",
"Ashburton District","ALFORD FOREST CEMETERY RO","2300","S"," ","ARUNDEL RAKAIA GORGE ROAD","201410392","01/01/2014","Wed","1753","CB","CS1","131A ","TX","R","D","BN","F "," ","N","N","100","0","1","0","","","1478333","5167504",
"Ashburton District","ALLENS ROAD",""," ","I","CARTERS ROAD","201413142","01/05/2014","Thu","0310","DC","CS2","103A 109A ","FT","R","D","DN","F ","T","N","N","050","0","0","1","","","1499605","5140547",
"Ashburton District","ARUNDEL RAKAIA GORGE ROAD","20","N"," ","JAINES ROAD","201412050","28/03/2014","Fri","0703","FA","CS1C","181A 330A 191B ","","R","W","DN","F "," ","N","C","050","0","0","1","","","1468774","5137851",
"Ashburton District","ARUNDEL RAKAIA GORGE ROAD","3000","S"," ","LISMORE MAYFIELD ROAD","201436970","25/04/2014","Fri","1625","CB","4N1","129A 358A ","T","R","D","B ","F "," "," ","C","100","0","0","0","","","1471772","5144032",
"Ashburton District","ASHBURTON STAVELEY ROAD","280","S"," ","OLLIVERS ROAD","201431198","10/02/2014","Mon","1815","CC","TS1","112A 129A ","FP","R","D","B ","F "," ","N","C","100","0","0","0","","","1493833","5147489",
"Ashburton District","BREMNERS ROAD","20","N"," ","SEAFIELD ROAD","201431701","01/01/2014","Wed","0950","CB","VS1","410A ","J","R","D","O ","F "," "," ","C","070","0","0","0","","","1500990","5139417",
"Ashburton District","BRIDGE ST","40","S"," ","PORTER ST","201413228","28/05/2014","Wed","1500","MD","EE1C","722A 371B 378B 835 929 ","","R","D","B ","F ","D","N","P","050","0","0","1","","","1500684","5138169",
"Ashburton District","DARTS ROAD","2600","E"," ","BACK TRACK","201436795","30/05/2014","Fri","1900","CC","CS1","138A 402A ","F","R","D","DN","F "," ","N","N","100","0","0","0","","","1492741","5172552",
"Ashburton District","DOBSON ST WEST","120","S"," ","KERMODE ST WEST","201430386","14/01/2014","Tue","1250","JA","VS1C","308B 375B 926 ","","E","D","B ","F ","D","N","C","050","0","0","0","","","1499032","5137705",
"Ashburton District","EAST ST","20","N"," ","CAMERON ST","201431132","17/02/2014","Mon","1218","MO","4S1C","371A 386A ","M","R","D","B ","F "," ","N","C","050","0","0","0","","","1499633","5138154",
"Ashburton District","HART ROAD","1200","W"," ","ARUNDEL RAKAIA GORGE ROAD","201432403","06/02/2014","Thu","1645","DA","CS1","110A 138A 404A ","F","E","D","BN","F "," "," ","N","100","0","0","0","","","1482587","5172775",
"Ashburton District","HATFIELD OVERDALE ROAD",""," ","A","RAIL XING","201410749","12/03/2014","Wed","1445","QC","4W1","112A 321A ","N","R","D","B ","F ","X","S","L","100","0","0","1","","","1518649","5152795",
"Ashburton District","MAYFIELD VALETTA ROAD","300","W"," ","TRAMWAY ROAD","201413674","06/04/2014","Sun","2200","DA","4N1","332A 358A 801 904 ","F","M","W","DN","M "," "," ","C","100","0","0","1","","","1481626","5156163",
"Ashburton District","MAYFIELD VALETTA ROAD","1000","S"," ","WALLACES ROAD","201410219","03/01/2014","Fri","0855","CC","4S1","135A 406A 903 ","","R","D","B ","FS"," ","N","C","100","0","0","1","","","1477280","5151687",
"Ashburton District","MOORE ST",""," ","I","WILLIAM ST","201436941","13/05/2014","Tue","1240","HA","CE1C","321B ","","R","D","O ","F ","X","S","C","050","0","0","0","","","1499578","5137471",
"Ashburton District","NELSON ST",""," ","I","CAMBRIDGE ST","201431129","17/02/2014","Mon","1700","HA","CN1C","113A 302A ","","R","D","B ","F ","X","G","C","050","0","0","0","","","1500398","5137491",
"Ashburton District","NELSON ST",""," ","I","CAMBRIDGE ST","201431086","16/02/2014","Sun","1130","HA","CN1C","302A 335A ","","R","D","B ","F ","X","G","N","050","0","0","0","","","1500398","5137491",
"Ashburton District","OAK GROVE",""," ","I","ELIZABETH ST","201436924","23/05/2014","Fri","1325","HA","CN2C","302A 834 ","","R","D","B ","F ","X","G","R","050","0","0","0","","","1499168","5139156",
"Ashburton District","OXFORD ST","20","W"," ","WAKANUI ROAD","201410605","19/01/2014","Sun","1440","MO","CW1M","371A ","M","R","D","B ","F "," ","N","C","050","0","0","1","","","1500745","5137649",
"Ashburton District","PETER ST",""," ","I","EAST ST","201432767","06/03/2014","Thu","1630","DA","CN2V","131A 402A ","","R","D","B ","F ","T","G","C","050","0","0","0","","","1499795","5138305",
"Ashburton District","PUDDING HILL ROAD","50","W"," ","DRAYTON ROAD","201410608","19/02/2014","Wed","2330","DB","CW1","131A 810 840 ","T","E","W","DN","F "," ","N","N","100","0","0","1","","","1484328","5171280",
"Ashburton District","RACECOURSE AVENUE","20","E"," ","CARR ST","201434851","14/03/2014","Fri","1126","LB","VE1C","303B 377B 929 ","","R","D","BF","F ","D","N","C","050","0","0","0","","","1490298","5168751",
"Ashburton District","RACECOURSE ROAD",""," ","I","BELT ROAD","201431087","14/02/2014","Fri","0610","CB","CN1","133A 150A ","FK","R","W","DO","L ","T","G","C","050","0","0","0","","","1500317","5140168",
"Ashburton District","SEAFIELD ROAD","700","E"," ","BREMNERS ROAD","201410033","24/01/2014","Fri","0015","FA","MW1C","112A 331A 370A ","","R","D","DN","F "," "," ","C","100","0","0","1","","","1501452","5138890",
"Ashburton District","SEAFIELD ROAD","20","E"," ","FAIRFIELD ROAD","201436873","04/04/2014","Fri","0345","CB","CS1","134A 358A 402A 407A ","F","R","D","DN","F "," "," ","C","100","0","0","0","","","1511903","5136091",
"Ashburton District","SOMERTON ROAD",""," ","I","THOMPSONS TRACK","201400126","31/05/2014","Sat","1555","HA","CN1C","321A 335A ","","R","D","B ","F ","X","S","C","100","3","1","1","","","1512852","5154761",
"Ashburton District","TAUWHARE ROAD",""," ","I","SH 1B","201413706","31/05/2014","Sat","1616","JA","CS1C","301B 375B ","","R","D","BF","F ","X","S","C","100","0","0","2","","","","",
"Ashburton District","THOMPSONS TRACK","100","E"," ","SH 77","201437993","12/05/2014","Mon","2020","EA","VE1C","386A ","M","R","D","DN","F "," ","N","C","050","0","0","0","","","1490771","5156485",
