Full,Abbreviation
Access,Accs
Dune,Dune
Accessway,Accswy
Elm,Elm
Alley,Aly
End,End
Anchorage,Ancg
Entrance,Ent
Approach,App
Esplanade,Esp
Arcade,Arc
Estate,Est
Arch,Arch
Fairway,Fawy
Avenue,Ave
Fall,Fall
Bank,Bank
Fare,Fare
Bay,Bay
Farms,Frms
Beach,Bch
Fen,Fen
Belt,Belt
Fern,Fern
Bend,Bnd
Flat,Flt
Bluff,Blf
Flats,Flts
Boulevard,Blvd
Garden,Gdn
Brae,Brae
Gardens,Gdns
Briars,Briars
Gate,Gte
Bridge,Brg
Glade,Gld
Bypass,Byp
Glen,Gln
Centre,Ctr
Grange,Grg
Chase,Ch
Green,Grn
Circle,Cir
Grove,Grv
Circus,Crcs
Gully,Gly
Claim,Clm
Haven,Hvn
Close,Cl
Head,Head
Common,Cmn
Heights,Hts
Court,Crt
Highway,Hwy
Courts,Crts
Hill,Hl
Cove,Cv
Island,Is
Creek,Crk
Junction,Jct
Crescent,Cres
Key,Key
Crest,Crst
Knob,Knob
Cul,Cul
Ladder,Ladr
Dale,Dle
Landing,Lndg
Dell,Del
Lane,Lane
Lane,Ln
Deviation,Dvn
Lea,Lea
Downs,Downs
Leader,Ledr
Drive,Dr
Leigh,Lgh
Line,Line
Roads,Rds
Link,Link
Roadway,Rdwy
Lookout,Lkt
Route,Rte
Loop,Loop
Row,Row
Mall,Mall
Service Lane,Svln
Mead,Mead
Slope,Slp
Meadows,Mdws
Spa,Spa
Mews,Mews
Spur,Spur
Mile,Mile
Square,Sq
Motorway,Mwy
State Highway,SH
Motu,Motu
Steep,Steep
Mount,Mt
Steps,Stps
Neaves,Nvs
Straight,Stgt
Oaks,Oaks
Strand,Strd
Paddock,Padk
Street,St
Paku,Paku
Terrace,Tce
Parade,Pde
Towers,Twrs
Park,Pk
Track,Trk
Parkway,Pkwy
Trail,Trl
Pass,Pass
Tramway,Tmwy
Passage,Psge
Trees,Trs
Path,Pth
Vale,Vale
Place,Pl
Valley,Vly
Point,Pt
Venus,Vnus
Priors,Priors
View,Vw
Promenade,Prom
Views,Vws
Quadrant,Qdrt
Village,Vlg
Quay,Qy
Villas,Vlls
Reef,Reef
Vista,Vis
Reserve,Res
Vue,Vue
Rest,Rest
Walk,Wlk
Retreat,Rtr
Waters,Waters
Ridge,Rdge
Way,Way
Rise,Rise
Wharf,Whrf
Road,Rd
Wynd,Wynd
Rue,R
