TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING
Hutt City,AMUNDSEN GROVE,200,N, ,AUGUST ST,201438167,13/04/2014,Sun,1546,EA,CN1C,129A 517A ,M,R,W,OF,L , ,N,N,50,0,0,0,,,1766006,5439072
Hutt City,BIRD GROVE,130,N, ,SPEEDY ST,201434798,04/01/2014,Sat,1930,DB,CS1C,111A 131A ,M,M,W,OF,L , ,N,C,50,0,0,0,,,1765866,5439647
Hutt City,BUNNY ST,, ,I,KNIGHTS ROAD,201433715,31/03/2014,Mon,1230,KC,BS1C,129A ,,E,D,O ,F ,R,G,R,50,0,0,0,,,1759707,5436115
Hutt City,CAMBRIDGE TERRACE,30,N, ,GUTHRIE ST,201434466,31/03/2014,Mon,2355,EA,TS1C,129A 411A ,M,R,D,DO,F , , ,C,50,0,0,0,,,1760631,5435311
Hutt City,CAMBRIDGE TERRACE,5,N, ,HAMPTON COURT,201411006,18/02/2014,Tue,1732,FC,CN1C,331A 358A ,,R,D,B ,F ,T,G,C,50,0,0,1,,,1761851,5436398
Hutt City,CAMBRIDGE TERRACE,40,N, ,HAMPTON COURT,201410341,01/02/2014,Sat,1630,NA,CN1EEE,306A 352A ,,R,D,OF,F , ,N,X,50,0,1,2,4,,1761877,5436421
Hutt City,CAMBRIDGE TERRACE,, ,I,WATERLOO ROAD,201434929,08/03/2014,Sat,1619,FB,CN1C,331A 353A ,,R,D,BF,F ,X,G,C,50,0,0,0,,,1761396,5435988
Hutt City,CAMPBELL TERRACE,20,E, ,SYDNEY ST,201436850,24/05/2014,Sat,1936,EA,CW1C,129A 357A ,M,R,D,DO,F , , ,C,50,0,0,0,,,1757301,5434747
Hutt City,CHURTON CRESCENT,20,E, ,TAITA DRIVE,201431080,01/03/2014,Sat,210,DB,CS1,121A 517A ,F,E,W,DO,F ,T,G,R,50,0,0,0,,,1763621,5439110
Hutt City,COAST ROAD,50,N, ,WOOD ST,201436121,08/05/2014,Thu,1620,MO,CN1,371A 929 ,FHJ,R,D,O ,F ,D,N,C,50,0,0,0,,,1763391,5427978
Hutt City,COLE ST,50,S, ,WHEATLEY ST,201433540,18/04/2014,Fri,1530,MO,CS1C,385A 929 ,M,R,D,OF,F , ,N,C,50,0,0,0,,,1763305,5436809
Hutt City,CUBA ST,, ,I,ADELAIDE ST,201412843,25/03/2014,Tue,725,HA,CN1C,321B 350B ,,R,D,O ,F ,X,S,R,50,0,0,1,,,1757934,5434170
Hutt City,CUBA ST,15,S, ,BOUVERIE ST,201436648,09/05/2014,Fri,1820,AO,VS1C,150A 381A ,,E,D,DO,F , ,N,R,50,0,0,0,,,1758296,5435030
Hutt City,DAYSH ST,, ,I,PARK AVENUE,201437696,05/06/2014,Thu,1715,FA,CN14,181A 331A 350A ,,R,D,DO,F ,T,G,C,50,0,0,0,,,1762646,5437346
Hutt City,DOWSE DRIVE,150,E, ,BUSHEY WAY,201432903,05/03/2014,Wed,2127,DA,CN1,101A 111A 131A 801 ,F,S,W,DO,L , , ,C,50,0,0,0,,,1757606,5435906
Hutt City,DOWSE DRIVE,, ,I,WALNUT WAY,201432916,24/01/2014,Fri,,GD,MN1C,331A 353A ,,R,D,TF,F ,T,G,C,50,0,0,0,,,1757488,5435776
Hutt City,DOWSE INTERCHANGE,, ,I,HUTT ROAD,201437426,14/05/2014,Wed,1210,LB,4N1T,302A 375A 901 ,,M,W,B ,H ,R,G,C,50,0,0,0,,,1758004,5435524
Hutt City,EASTERN HUTT ROAD,610,N, ,PETERKIN ST N,201430341,06/01/2014,Mon,1806,CB,CN1,129A 357A ,FS,R,D,B ,F , ,N,C,70,0,0,0,,,1764647,5439495
Hutt City,EASTERN HUTT ROAD,, ,I,PETERKIN ST N,201410121,08/01/2014,Wed,900,QG,CN1C,406A ,Q,R,D,B ,F ,T,G,C,50,0,0,1,,,1764511,5438946
Hutt City,EASTERN HUTT ROAD,200,S, ,REYNOLDS BACH ROAD,201436840,23/05/2014,Fri,45,DA,CN1,103A 111A 131A 359A ,G,E,D,DN,F , , ,C,80,0,0,0,,,1767074,5442625
Hutt City,EASTERN HUTT ROAD,50,N, ,STOKES VALLEY ROAD,201436670,07/05/2014,Wed,1830,FA,CN1P,181A 503A ,,R,D,DO,F , ,N,C,80,0,0,0,,,1766247,5441525
Hutt City,EASTERN HUTT ROAD,, ,I,WINGATE OVERBRIDGE,201411190,11/04/2014,Fri,1714,JC,CE2C,110A 132A 302B 375B 904 ,,R,W,TF,M ,T,G,R,50,0,0,1,,,1763960,5438338
Hutt City,EVANS ST,50,E, ,GEORGE ST,201413013,13/05/2014,Tue,1916,NF,4S1E,341A 715B 724B 925 ,,R,W,DO,F ,D,N,C,50,0,0,1,54,,1766094,5439969
Hutt City,EVEREST AVENUE,100,E, ,VOGEL ST,201431428,06/03/2014,Thu,2055,EA,TE1TC,385A ,MD,R,D,DO,F , ,N,N,50,0,0,0,,,1763315,5437281
Hutt City,EVEREST AVENUE,100,E, ,VOGEL ST,201412603,05/04/2014,Sat,1353,NA,CE1E,712B 713B 727B ,,R,D,BF,F , ,N,X,50,0,0,1,5,,1763315,5437281
Hutt City,FAIRWAY DRIVE,10,N, ,HIGH ST,201437844,04/06/2014,Wed,1800,MC,CN1C,372B ,,E,W,DO,F ,T,N, ,50,0,0,0,,,1762494,5437549
Hutt City,FENCHURCH GROVE,150,E, ,SHAFTESBURY GROVE,201431412,06/02/2014,Thu,1545,GB,VS1C,142B 929 ,,R,D,OF,F ,D,N,N,50,0,0,0,,,1765606,5440099
Hutt City,FITZHERBERT ROAD,70,S, ,THE STRAND,201432798,14/03/2014,Fri,753,MD,CN1C,110B 308B 371B 929 ,,R,D,B ,F ,D, ,C,50,0,0,0,,,1763149,5430739
Hutt City,FREDERICK ST,20,S, ,MCKAY ST,201430444,15/01/2014,Wed,1400,EA,CN1C,386A ,M,R,D,B ,F , ,N,C,50,0,0,0,,,1763377,5431385
Hutt City,GEORGE ST,100,N, ,SPEEDY ST,201435550,30/04/2014,Wed,1612,CB,CN1,103A 130A 402A 632A ,P,R,D,O ,F , , ,C,50,0,0,0,,,1765985,5439631
Hutt City,GODLEY ST,, ,I,WHITES LINE EAST,201432864,15/03/2014,Sat,1130,MG,CS1C,371B ,,E,D,O ,F ,T,S,C,50,0,0,0,,,1760492,5434650
